Date,Open,High,Low,Close,Adj Close,Volume,percentage change
2021-04-19,719.599976,725.400024,691.799988,714.630005,714.630005,39686200,-0.6906574716172569
2021-04-20,717.419983,737.250000,710.690002,718.989990,718.989990,35609000,0.21884071216344028
2021-04-21,704.770020,744.840027,698.000000,744.119995,744.119995,31215500,5.583378106804255
2021-04-22,741.500000,753.770020,718.039978,719.690002,719.690002,35590300,-2.941334861766683
2021-04-23,719.799988,737.359985,715.460022,729.400024,729.400024,28370000,1.333708830236886
2021-04-26,741.000000,749.299988,732.609985,738.200012,738.200012,31038500,-0.37786612685559845
2021-04-27,717.960022,724.000000,703.349976,704.739990,704.739990,29437000,-1.8413326083495978
2021-04-28,696.409973,708.500000,693.599976,694.400024,694.400024,22271000,-0.2886157691483844
2021-04-29,699.510010,702.250000,668.500000,677.000000,677.000000,28845400,-3.2179682460869956
2021-04-30,667.590027,715.469971,666.140015,709.440002,709.440002,40686400,6.268813689153581
2021-05-03,703.799988,706.000000,680.500000,684.900024,684.900024,27043100,-2.68541692558255
2021-05-04,678.940002,683.450012,657.700012,673.599976,673.599976,29739300,-0.7865239909667423
2021-05-05,681.059998,685.299988,667.340027,670.940002,670.940002,21836000,-1.4859184256480003
2021-05-06,680.760010,681.020020,650.000000,655.135010,655.135010,23664459,-3.7641752781571296
